zip_code,min_medicare_pricing_for_new_patient,max_medicare_pricing_for_new_patient,mode_medicare_pricing_for_new_patient,min_copay_for_new_patient,max_copay_for_new_patient,mode_copay_for_new_patient,most_utilized_procedure_code_for_new_patient,min_medicare_pricing_for_established_patient,max_medicare_pricing_for_established_patient,mode_medicare_pricing_for_established_patient,min_copay_for_established_patient,max_copay_for_established_patient,mode_copay_for_established_patient,most_utilized_procedure_code_for_established_patient,lat,long,Urban_Rural
601,59.392,179.952,91.28,14.848,44.988,22.82,99203,18.528,146.968,105.28,4.632,36.742,26.32,99214,18.180555,-66.749961,Urban
612,59.392,179.952,91.28,14.848,44.988,22.82,99203,18.528,146.968,105.28,4.632,36.742,26.32,99214,18.402253,-66.711397,Urban
616,59.392,179.952,91.28,14.848,44.988,22.82,99203,18.528,146.968,105.28,4.632,36.742,26.32,99214,18.420412,-66.671979,Urban
617,59.392,179.952,91.28,14.848,44.988,22.82,99203,18.528,146.968,105.28,4.632,36.742,26.32,99214,18.445147,-66.559696,Urban
627,59.392,179.952,91.28,14.848,44.988,22.82,99203,18.528,146.968,105.28,4.632,36.742,26.32,99214,18.4126,-66.863926,Urban
631,59.392,179.952,91.28,14.848,44.988,22.82,99203,18.528,146.968,105.28,4.632,36.742,26.32,99214,18.190607,-66.832041,Urban
638,59.392,179.952,91.28,14.848,44.988,22.82,99203,18.528,146.968,105.28,4.632,36.742,26.32,99214,18.295913,-66.515588,Urban
641,59.392,179.952,91.28,14.848,44.988,22.82,99203,18.528,146.968,105.28,4.632,36.742,26.32,99214,18.263085,-66.712985,Urban
646,59.392,179.952,91.28,14.848,44.988,22.82,99203,18.528,146.968,105.28,4.632,36.742,26.32,99214,18.43315,-66.285875,Urban
650,59.392,179.952,91.28,14.848,44.988,22.82,99203,18.528,146.968,105.28,4.632,36.742,26.32,99214,18.349416,-66.578079,Urban
652,59.392,179.952,91.28,14.848,44.988,22.82,99203,18.528,146.968,105.28,4.632,36.742,26.32,99214,18.448452,-66.594127,Urban
659,59.392,179.952,91.28,14.848,44.988,22.82,99203,18.528,146.968,105.28,4.632,36.742,26.32,99214,18.407226,-66.808999,Urban
664,59.392,179.952,91.28,14.848,44.988,22.82,99203,18.528,146.968,105.28,4.632,36.742,26.32,99214,18.21033,-66.591616,Urban
669,59.392,179.952,91.28,14.848,44.988,22.82,99203,18.528,146.968,105.28,4.632,36.742,26.32,99214,18.277102,-66.869645,Urban
674,59.392,179.952,91.28,14.848,44.988,22.82,99203,18.528,146.968,105.28,4.632,36.742,26.32,99214,18.422908,-66.489337,Urban
678,59.392,179.952,91.28,14.848,44.988,22.82,99203,18.528,146.968,105.28,4.632,36.742,26.32,99214,18.434099,-66.927384,Urban
685,59.392,179.952,91.28,14.848,44.988,22.82,99203,18.528,146.968,105.28,4.632,36.742,26.32,99214,18.332929,-66.959689,Urban
687,59.392,179.952,91.28,14.848,44.988,22.82,99203,18.528,146.968,105.28,4.632,36.742,26.32,99214,18.319026,-66.420557,Urban
688,59.392,179.952,91.28,14.848,44.988,22.82,99203,18.528,146.968,105.28,4.632,36.742,26.32,99214,18.382264,-66.626438,Urban
692,59.392,179.952,91.28,14.848,44.988,22.82,99203,18.528,146.968,105.28,4.632,36.742,26.32,99214,18.410188,-66.336556,Urban
693,59.392,179.952,91.28,14.848,44.988,22.82,99203,18.528,146.968,105.28,4.632,36.742,26.32,99214,18.423,-66.397232,Urban
694,59.392,179.952,91.28,14.848,44.988,22.82,99203,18.528,146.968,105.28,4.632,36.742,26.32,99214,18.48237,-66.391079,Urban
703,59.392,179.952,91.28,14.848,44.988,22.82,99203,18.528,146.968,105.28,4.632,36.742,26.32,99214,18.248401,-66.130662,Urban
705,59.392,179.952,91.28,14.848,44.988,22.82,99203,18.528,146.968,105.28,4.632,36.742,26.32,99214,18.128961,-66.266683,Urban
707,59.392,179.952,91.28,14.848,44.988,22.82,99203,18.528,146.968,105.28,4.632,36.742,26.32,99214,18.014055,-65.920751,Urban
714,59.392,179.952,91.28,14.848,44.988,22.82,99203,18.528,146.968,105.28,4.632,36.742,26.32,99214,18.003025,-66.046237,Urban
718,59.392,179.952,91.28,14.848,44.988,22.82,99203,18.528,146.968,105.28,4.632,36.742,26.32,99214,18.231988,-65.759623,Urban
719,59.392,179.952,91.28,14.848,44.988,22.82,99203,18.528,146.968,105.28,4.632,36.742,26.32,99214,18.289927,-66.25344,Urban
720,59.392,179.952,91.28,14.848,44.988,22.82,99203,18.528,146.968,105.28,4.632,36.742,26.32,99214,18.217946,-66.428076,Urban
