"zip","population","zip_code","latitude","longitude","city","state","county"
8701,134008,8701,39.9452,-74.1498,"Lakewood","NJ","Ocean"
77494,130920,77494,29.834,-95.4342,"Katy","TX","Fort Bend"
77449,122098,77449,29.834,-95.4342,"Katy","TX","Harris"
78660,113386,78660,30.4427,-97.5971,"Pflugerville","TX","Travis"
11368,112750,11368,40.7488,-73.8543,"Corona","NY","Queens"
60629,108997,60629,41.8119,-87.6873,"Chicago","IL","Cook"
77084,108557,77084,29.834,-95.4342,"Houston","TX","Harris"
11208,108180,11208,40.6622,-73.9129,"Brooklyn","NY","Kings"
77433,107887,77433,29.834,-95.4342,"Cypress","TX","Harris"
79936,107512,79936,31.7112,-106.243,"El Paso","TX","El Paso"
90011,106042,90011,33.9893,-118.25,"Los Angeles","CA","Los Angeles"
11385,105521,11385,40.7024,-73.886,"Ridgewood","NY","Queens"
11373,102618,11373,40.7351,-73.8776,"Elmhurst","NY","Queens"
90650,101983,90650,33.9068,-118.077,"Norwalk","CA","Los Angeles"
11226,101053,11226,40.645,-73.9563,"Brooklyn","NY","Kings"
94565,100826,94565,38.0031,-121.917,"Pittsburg","CA","Contra Costa"
92336,100571,92336,34.1223,-116.247,"Fontana","CA","San Bernardino"
11236,100082,11236,40.657,-73.9158,"Brooklyn","NY","Kings"
30044,100056,30044,33.9418,-84.0706,"Lawrenceville","GA","Gwinnett"
91331,99804,91331,33.7866,-118.299,"Pacoima","CA","Los Angeles"
37013,99800,37013,36.036,-86.6456,"Antioch","TN","Davidson"
90044,98990,90044,33.9381,-118.286,"Los Angeles","CA","Los Angeles"
10467,98713,10467,40.8763,-73.8704,"Bronx","NY","Bronx"
10025,96988,10025,40.7987,-73.9678,"New York City","NY","New York"
11207,96801,11207,40.6709,-73.8952,"Brooklyn","NY","Kings"
92335,96704,92335,34.1598,-114.301,"Fontana","CA","San Bernardino"
90805,96515,90805,33.8388,-118.158,"Long Beach","CA","Los Angeles"
90250,96200,90250,33.7866,-118.299,"Hawthorne","CA","Los Angeles"
77573,95704,77573,29.4965,-95.0523,"League City","TX","Galveston"
79938,95452,79938,31.8498,-106.304,"El Paso","TX","El Paso"
90201,95134,90201,33.9767,-118.169,"Bell","CA","Los Angeles"
75052,94636,75052,32.7673,-96.7776,"Grand Prairie","TX","Dallas"
10314,94355,10314,40.591,-74.1507,"Staten Island","NY","Richmond"
926,93751,926,18.3694,-66.0628,"San Juan","PR","San Juan"
11220,93008,11220,40.6349,-74.0169,"Brooklyn","NY","Kings"
78245,92770,78245,29.4069,-98.7227,"San Antonio","TX","Bexar"
91342,92580,91342,33.7866,-118.299,"Sylmar","CA","Los Angeles"
11219,92283,11219,40.6332,-73.997,"Brooklyn","NY","Kings"
90280,92262,90280,33.9377,-118.193,"South Gate","CA","Los Angeles"
60618,92235,60618,41.8119,-87.6873,"Chicago","IL","Cook"
77479,91618,77479,29.5529,-95.6668,"Sugar Land","TX","Fort Bend"
78130,91275,78130,29.7765,-98.221,"New Braunfels","TX","Comal"
11221,91236,11221,40.7004,-73.9368,"Brooklyn","NY","Kings"
11214,90796,11214,40.5995,-73.9986,"Brooklyn","NY","Kings"
77429,90790,77429,29.834,-95.4342,"Cypress","TX","Harris"
92683,90630,92683,33.6403,-117.769,"Westminster","CA","Orange"
77584,90364,77584,29.5402,-95.3323,"Pearland","TX","Brazoria"
11230,90245,11230,40.6225,-73.9661,"Brooklyn","NY","Kings"
11234,89976,11234,40.6109,-73.9139,"Brooklyn","NY","Kings"
11206,89949,11206,40.7005,-73.9493,"Brooklyn","NY","Kings"
93307,89651,93307,35.1054,-118.717,"Bakersfield","CA","Kern"
92503,88617,92503,33.7529,-116.056,"Riverside","CA","Riverside"
10456,88575,10456,40.8305,-73.9087,"Bronx","NY","Bronx"
78613,88189,78613,30.494,-97.6287,"Cedar Park","TX","Williamson"
30043,88050,30043,34.0031,-84.0126,"Lawrenceville","GA","Gwinnett"
91911,87799,91911,32.616,-117.034,"Chula Vista","CA","San Diego"
92345,87476,92345,34.84,-115.967,"Hesperia","CA","San Bernardino"
75217,87154,75217,32.7025,-96.6845,"Dallas","TX","Dallas"
78641,87106,78641,30.5835,-97.8575,"Leander","TX","Williamson"
78521,87040,78521,26.0986,-97.5069,"Brownsville","TX","Cameron"
11377,86977,11377,40.7484,-73.9054,"Woodside","NY","Queens"
34787,86913,34787,28.4686,-81.5123,"Winter Garden","FL","Orange"
78666,86530,78666,29.9729,-97.9972,"San Marcos","TX","Hays"
93722,86387,93722,36.7933,-119.931,"Fresno","CA","Fresno"
60632,86372,60632,41.8119,-87.6873,"Chicago","IL","Cook"
92376,85727,92376,34.2023,-115.567,"Rialto","CA","San Bernardino"
60647,85685,60647,41.8119,-87.6873,"Chicago","IL","Cook"
30024,85442,30024,34.0425,-84.0262,"Suwanee","GA","Gwinnett"
60639,85248,60639,41.8119,-87.6873,"Chicago","IL","Cook"
99301,85210,99301,46.4207,-118.899,"Pasco","WA","Franklin"
92804,84700,92804,33.6403,-117.769,"Anaheim","CA","Orange"
60804,84189,60804,41.8119,-87.6873,"Cicero","IL","Cook"
11212,84006,11212,40.6638,-73.9164,"Brooklyn","NY","Kings"
